CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score_Sum,Customer_Persona,HoldoutOrders,HoldoutMonetary,IsChurned,Prob_Active,Predicted_90Day_CLV,Recommended_Campaign,Campaign_Strategy_Note
16754.0,281,29,67502.47,2,5,5,255,12,At Risk,0,0.0,1,0.776530762647831,3972.2141391868945,High-Value Win-Back,20% off limited promo code + direct outreach.
17850.0,281,155,56600.08,2,5,5,255,12,At Risk,0,0.0,1,0.9950148642140261,3173.573340252342,High-Value Win-Back,20% off limited promo code + direct outreach.
12454.0,304,4,13151.44,2,3,5,235,10,At Risk,1,3528.34,0,0.4755667581664921,1499.3599478640429,High-Value Win-Back,20% off limited promo code + direct outreach.
13680.0,246,10,10104.84,2,5,5,255,12,At Risk,2,1330.83,0,0.6926636147188981,884.3377663356213,High-Value Win-Back,20% off limited promo code + direct outreach.
17448.0,406,46,14556.97,1,5,5,155,11,Can't Lose Them,0,0.0,1,0.6139963196775036,811.6017741725651,Executive Outreach,Feedback survey + customized high-value offer.
17044.0,283,11,11013.82,2,5,5,255,12,At Risk,1,948.48,0,0.6602647965006592,808.1040297350004,High-Value Win-Back,20% off limited promo code + direct outreach.
14134.0,291,15,11123.35,2,5,5,255,12,At Risk,0,0.0,1,0.6800627754404085,789.3985082731881,High-Value Win-Back,20% off limited promo code + direct outreach.
15332.0,275,6,6553.74,2,4,5,245,11,At Risk,0,0.0,1,0.5807609779578351,571.8508554643918,High-Value Win-Back,20% off limited promo code + direct outreach.
12967.0,267,3,4306.92,2,3,5,235,10,At Risk,0,0.0,1,0.512826646998551,568.6138536678366,High-Value Win-Back,20% off limited promo code + direct outreach.
13206.0,309,13,8377.32,2,5,5,255,12,At Risk,0,0.0,1,0.6462259381570401,561.8352476162859,High-Value Win-Back,20% off limited promo code + direct outreach.
15523.0,297,15,16947.98,2,5,5,255,12,At Risk,1,412.01,0,0.6735117801689705,557.2867412505578,High-Value Win-Back,20% off limited promo code + direct outreach.
17308.0,302,2,4511.76,2,3,5,235,10,At Risk,0,0.0,1,0.46225740300999185,540.790026608631,High-Value Win-Back,20% off limited promo code + direct outreach.
15614.0,346,4,3147.36,2,4,5,245,11,At Risk,0,0.0,1,0.47910189302156947,537.1823980012553,High-Value Win-Back,20% off limited promo code + direct outreach.
16858.0,277,10,4668.28,2,5,5,255,12,At Risk,0,0.0,1,0.6597883389781896,516.5546376642379,High-Value Win-Back,20% off limited promo code + direct outreach.
14113.0,263,13,5685.69,2,5,5,255,12,At Risk,3,1406.92,0,0.6956780837699136,496.5634588943661,Standard Retention Push,Automated email re-engagement.
15823.0,281,3,3897.17,2,3,5,235,10,At Risk,0,0.0,1,0.49580125506708583,496.47722874259415,Standard Retention Push,Automated email re-engagement.
13958.0,288,8,4709.23,2,5,5,255,12,At Risk,0,0.0,1,0.6328614594118883,495.4733246186931,Standard Retention Push,Automated email re-engagement.
15202.0,329,3,6001.49,2,3,5,235,10,At Risk,0,0.0,1,0.4376341512247178,489.0572875382317,Standard Retention Push,Automated email re-engagement.
14249.0,319,12,5625.46,2,5,5,255,12,At Risk,0,0.0,1,0.6276178942401032,477.96240675568436,Standard Retention Push,Automated email re-engagement.
16732.0,312,3,3783.89,2,3,5,235,10,At Risk,1,603.75,0,0.4581685800715426,458.79324549122066,Standard Retention Push,Automated email re-engagement.
16125.0,276,14,4587.65,2,5,5,255,12,At Risk,0,0.0,1,0.6890713363953637,440.3615244954004,Standard Retention Push,Automated email re-engagement.
14648.0,325,15,4546.86,2,5,5,255,12,At Risk,0,0.0,1,0.643215286208021,438.5690506030219,Standard Retention Push,Automated email re-engagement.
13542.0,285,17,4006.17,2,5,5,255,12,At Risk,0,0.0,1,0.7002414033714526,437.4151683802872,Standard Retention Push,Automated email re-engagement.
14063.0,347,9,22710.2,2,5,5,255,12,At Risk,0,0.0,1,0.5712888459877857,435.88372783477666,Standard Retention Push,Automated email re-engagement.
17307.0,304,11,3999.89,2,5,5,255,12,At Risk,0,0.0,1,0.6371723609207505,429.35812421925715,Standard Retention Push,Automated email re-engagement.
16636.0,347,4,3802.04,2,4,5,245,11,At Risk,0,0.0,1,0.4778662975901167,425.2208989055464,Standard Retention Push,Automated email re-engagement.
13786.0,276,6,3358.94,2,4,5,245,11,At Risk,0,0.0,1,0.5796732895661357,422.443272668834,Standard Retention Push,Automated email re-engagement.
13902.0,541,5,34095.26,1,4,5,145,10,Can't Lose Them,0,0.0,1,0.1505007486267249,415.21401761110474,Executive Outreach,Feedback survey + customized high-value offer.
16718.0,278,5,3647.53,2,4,5,245,11,At Risk,0,0.0,1,0.5694286205853698,405.7806293383293,Standard Retention Push,Automated email re-engagement.
13329.0,275,7,4628.17,2,4,5,245,11,At Risk,1,484.8,0,0.5886237300901277,405.01063614307367,Standard Retention Push,Automated email re-engagement.
14290.0,270,4,2979.47,2,4,5,245,11,At Risk,4,1537.09,0,0.5711190401089719,402.92933067174675,Standard Retention Push,Automated email re-engagement.
12482.0,485,29,23691.4,1,5,5,155,11,Can't Lose Them,0,0.0,1,0.3850902278095454,395.93104720384287,Executive Outreach,Feedback survey + customized high-value offer.
16563.0,309,5,3345.02,2,4,5,245,11,At Risk,1,1077.74,0,0.5321112065027107,387.78188256183336,Standard Retention Push,Automated email re-engagement.
13031.0,316,5,3419.27,2,4,5,245,11,At Risk,0,0.0,1,0.523614921332203,381.5901214826859,Standard Retention Push,Automated email re-engagement.
15680.0,275,8,3652.79,2,5,5,255,12,At Risk,2,854.79,0,0.6474711133137445,368.9054062773213,Standard Retention Push,Automated email re-engagement.
16336.0,329,4,3517.69,2,4,5,245,11,At Risk,0,0.0,1,0.49977095349265344,368.34142664944557,Standard Retention Push,Automated email re-engagement.
17876.0,308,3,3424.02,2,3,5,235,10,At Risk,0,0.0,1,0.46301850629555585,367.7055183424105,Standard Retention Push,Automated email re-engagement.
15571.0,295,10,3401.2,2,5,5,255,12,At Risk,4,650.43,0,0.6398862371603027,363.50611756728665,Standard Retention Push,Automated email re-engagement.
14653.0,247,6,2011.8,2,4,4,244,10,At Risk,6,1602.74,0,0.5641621461493872,359.0665941485066,Standard Retention Push,Automated email re-engagement.
17913.0,264,13,3286.09,2,5,5,255,12,At Risk,1,193.55,0,0.6947105392884567,353.95153653394607,Standard Retention Push,Automated email re-engagement.
15255.0,305,8,2838.57,2,5,5,255,12,At Risk,1,890.85,0,0.6134829887220221,352.80069337423043,Standard Retention Push,Automated email re-engagement.
13455.0,275,5,2540.53,2,4,4,244,10,At Risk,1,365.4,0,0.5223693202191066,347.21521527772796,Standard Retention Push,Automated email re-engagement.
13446.0,339,11,3881.89,2,5,5,255,12,At Risk,0,0.0,1,0.5969360735729947,345.67162291945414,Standard Retention Push,Automated email re-engagement.
15983.0,269,7,3632.07,2,4,5,245,11,At Risk,1,326.75,0,0.5957091794824928,344.5492651615963,Standard Retention Push,Automated email re-engagement.
16772.0,332,3,3723.55,2,3,5,235,10,At Risk,0,0.0,1,0.434113233782637,342.2877869918326,Standard Retention Push,Automated email re-engagement.
18194.0,347,5,3188.2,2,4,5,245,11,At Risk,1,973.84,0,0.485909364920481,339.0506978201782,Standard Retention Push,Automated email re-engagement.
17814.0,284,2,1617.32,2,3,4,234,9,At Risk,0,0.0,1,0.4334025956755755,338.51985606840856,Standard Retention Push,Automated email re-engagement.
15366.0,267,6,1892.11,2,4,4,244,10,At Risk,1,496.97,0,0.5400907635720864,338.29342056009637,Standard Retention Push,Automated email re-engagement.
15789.0,267,6,1962.01,2,4,4,244,10,At Risk,0,0.0,1,0.5400885721789622,338.2920479502949,Standard Retention Push,Automated email re-engagement.
15817.0,329,3,2766.4,2,3,5,235,10,At Risk,0,0.0,1,0.43773464326141165,337.87498373077676,Standard Retention Push,Automated email re-engagement.
17640.0,288,5,2547.28,2,4,4,244,10,At Risk,1,621.66,0,0.5065596698470181,336.70665180560854,Standard Retention Push,Automated email re-engagement.
12963.0,274,5,2110.76,2,4,4,244,10,At Risk,7,1490.83,0,0.5235975106621573,333.24882950993685,Standard Retention Push,Automated email re-engagement.
16510.0,281,6,2100.0,2,4,4,244,10,At Risk,0,0.0,1,0.5231127345390139,332.9402889376037,Standard Retention Push,Automated email re-engagement.
18259.0,275,5,2355.9,2,4,4,244,10,At Risk,2,1962.3,0,0.5223751342321796,332.4708359056597,Standard Retention Push,Automated email re-engagement.
15279.0,263,5,1580.54,2,4,4,244,10,At Risk,0,0.0,1,0.5369538195646731,330.7662225418564,Standard Retention Push,Automated email re-engagement.
13979.0,302,6,2546.36,2,4,4,244,10,At Risk,1,869.87,0,0.4975533018986307,330.7201823384544,Standard Retention Push,Automated email re-engagement.
15638.0,287,6,2265.2,2,4,4,244,10,At Risk,0,0.0,1,0.5158153417121828,328.2957908861514,Standard Retention Push,Automated email re-engagement.
16812.0,269,4,2392.0,2,4,4,244,10,At Risk,0,0.0,1,0.5216443587427908,328.1015017616675,Standard Retention Push,Automated email re-engagement.
12986.0,337,10,2729.84,2,5,5,255,12,At Risk,0,0.0,1,0.5915702077317213,327.7442848131431,Standard Retention Push,Automated email re-engagement.
